obsah,datum
"Dňa 16.01.2024 bola zverejnená predbežná informácia k návrhu zákona, ktorým sa mení a dopĺňa zákon č. 272/2015 Z. z. o registri právnických osôb, podnikateľov a orgánov verejnej moci a o zmene a...[PI/Zmeny strategického plánu spoločnej poľnohospodárskej politiky SR a vnútroštátna právna úprava](/?ros_monitoring_aktuality&sprava=pi-zmeny-strategickeho-planu-spolocnej-polnohospodarskej-politiky-sr-a-vnutrostatna-pravna-uprava)",22. 01. 2024
"Dňa 15.01.2024 bola zverejnená predbežná informácia k návrhu nariadenia vlády Slovenskej republiky, ktorým sa mení a dopĺňa...[PI/Zmeny v zákone o dráhach](/?ros_monitoring_aktuality&sprava=pi-zmeny-v-zakone-o-drahach)",22. 01. 2024
"Dňa 15.01.2024 bola zverejnená predbežná informácia k návrhu zákona, ktorým sa mení a dopĺňa zákon č. 513/2009 Z. z. o dráhach a o zmene a doplnení niektorých zákonov v znení neskorších predpisov a...[MPK/Návrh zákona o mimoriadnych opatreniach pre strategické investície a pre výstavbu transeurópskej dopravnej siete](/?ros_monitoring_aktuality&sprava=mpk-navrh-zakona-o-mimoriadnych-opatreniach-pre-strategicke-investicie-a-pre-vystavbu-transeuropskej-dopravnej-siete)",22. 01. 2024
Dňa 10.01.2024 bol v MPK zverejnený návrh zákona o mimoriadnych opatreniach pre strategické investície a pre výstavbu transeurópskej dopravnej siete a o zmene a doplnení niektorých...[MPK/Inštitút informatívneho stretnutia rodičov na súde](/?ros_monitoring_aktuality&sprava=mpk-institut-informativneho-stretnutia-rodicov-na-sude),22. 01. 2024
"Dňa 16.01.2024 bol v MPK zverejnený návrh vyhlášky Ministerstva práce, sociálnych vecí a rodiny Slovenskej republiky, ktorou sa mení a dopĺňa vyhláška...[MPK/Návrh zmien a doplnení Legislatívnych pravidiel vlády Slovenskej republiky](/?ros_monitoring_aktuality&sprava=mpk-navrh-zmien-a-doplneni-legislativnych-pravidiel-vlady-slovenskej-republiky)",22. 01. 2024
Dňa 16.01.2024 bol v MPK zverejnený návrh zmien a doplnení Legislatívnych pravidiel vlády Slovenskej republiky. Cieľom návrhu je zosúladenie Legislatívnych pravidiel vlády Slovenskej republiky...[MPK/Legislatívno-technické úpravy v jednom z opatrení NBS](/?ros_monitoring_aktuality&sprava=mpk-legislativno-technicke-upravy-v-jednom-z-opatreni-nbs),22. 01. 2024
"Dňa 17.01.2024 bol v MPK zverejnený návrh opatrenia Národnej banky Slovenska, ktorým sa mení a dopĺňa opatrenie Národnej banky Slovenska z 11. mája 2010 č. 6/2010, ktorým sa ustanovujú...[MPK/Harmonogram organizačno-technického zabezpečenia volieb prezidenta Slovenskej republiky v roku 2024](/?ros_monitoring_aktuality&sprava=mpk-harmonogram-organizacno-technickeho-zabezpecenia-volieb-prezidenta-slovenskej-republiky-v-roku-2024)",15. 01. 2024
Dňa 10.01.2024 bol v MPK zverejnený návrh nariadenia Európskeho parlamentu a Rady o výrobe a uvádzaní rastlinného...[MPK/Návrh Dohody o vytvorení dlhodobej konštituencie v skupine Svetovej banky na roky 2024 – 2034](/?ros_monitoring_aktuality&sprava=mpk-navrh-dohody-o-vytvoreni-dlhodobej-konstituencie-v-skupine-svetovej-banky-na-roky-2024-2034),15. 01. 2024
Dňa 10.01.2024 bol v MPK zverejnený návrh Dohody o vytvorení dlhodobej konštituencie v skupine Svetovej banky na roky 2024 – 2034. Cieľom materiálu je odsúhlasiť návrh novej...[MPK/Návrh na zmenu a doplnenie Štatútu Ministerstva dopravy Slovenskej republiky](/?ros_monitoring_aktuality&sprava=mpk-navrh-na-zmenu-a-doplnenie-statutu-ministerstva-dopravy-slovenskej-republiky),15. 01. 2024
Dňa 12.01.2024 bol v MPK zverejnený Návrh na zmenu a doplnenie Štatútu Ministerstva dopravy Slovenskej republiky. Predkladaný materiál zosúlaďuje Štatút Ministerstva dopravy Slovenskej...[MPK/Odborná spôsobilosť na obstarávanie územnoplánovacej dokumentácie](/?ros_monitoring_aktuality&sprava=mpk-odborna-sposobilost-na-obstaravanie-uzemnoplanovacej-dokumentacie),15. 01. 2024
Dňa 11.01.2024 bol v MPK zverejnený návrh vyhlášky Úradu pre územné plánovanie a výstavbu Slovenskej republiky o obsahu a forme žiadosti o zápis do...[MPK/Zameranie dvojstrannej rozvojovej spolupráce Slovenskej republiky na rok 2024](/?ros_monitoring_aktuality&sprava=mpk-zameranie-dvojstrannej-rozvojovej-spoluprace-slovenskej-republiky-na-rok-2024),15. 01. 2024
"Dňa 11.01.2024 bol v MPK zverejnený dokument označený ako „Zameranie dvojstrannej rozvojovej spolupráce...[PI/Návrh zákona, ktorým sa upravujú inštitucionálne, technické a kontrolné požiadavky európskej dátovej regulácie](/?ros_monitoring_aktuality&sprava=pi-navrh-zakona-ktorym-sa-upravuju-institucionalne-technicke-a-kontrolne-poziadavky-europskej-datovej-regulacie)",15. 01. 2024
"Dňa 12.01.2024 bola zverejnená predbežná informácia k návrhu zákona, ktorým sa upravujú inštitucionálne,...[Zákon/Predĺženie lehoty pre vlastníkov malých čistiarní odpadových vôd](/?ros_monitoring_aktuality&sprava=zakon-predlzenie-lehoty-pre-vlastnikov-malych-cistiarni-odpadovych-vod)",15. 01. 2024
"Dňa 12.12.2023 NRSR schválila vládny návrh zákona, ktorým sa mení a dopĺňa zákon č. 364/2004 Z. z. o vodách a o zmene zákona Slovenskej národnej rady č. 372/1990 Zb. o...[Zákon/Výplata 13. dôchodku v decembri 2023](/?ros_monitoring_aktuality&sprava=zakon-vyplata-13-dochodku-v-decembri-2023)",15. 01. 2024
"Dňa 22.12.2023 NRSR schválila vládny návrh zákona, ktorým sa mení zákon č. 153/2013 Z. z. o národnom zdravotníckom informačnom systéme a o zmene a doplnení niektorých zákonov v...[Zákon/Opatrenia v súvislosti so zlepšením stavu verejných financií](/?ros_monitoring_aktuality&sprava=zakon-opatrenia-v-suvislosti-so-zlepsenim-stavu-verejnych-financii)",15. 01. 2024
"Dňa 19.12.2023 NRSR schválila vládny návrh zákona, ktorým sa menia a dopĺňajú niektoré zákony v súvislosti so zlepšením stavu verejných financií. Zákonom sa schválil súbor konsolidačných...[MPK/Plán práce Bezpečnostnej rady Slovenskej republiky na rok 2024](/?ros_monitoring_aktuality&sprava=mpk-plan-prace-bezpecnostnej-rady-slovenskej-republiky-na-rok-2024)",15. 01. 2024
Dňa 09.01.2024 bol v MPK zverejnený návrh Plánu práce Bezpečnostnej rady Slovenskej republiky na rok 2024. Cieľom predkladaného materiálu je splnenie zákonnej povinnosti a naplánovanie práce...[MPK/Rokovací poriadok výboru Bezpečnostnej rady Slovenskej republiky pre koordináciu spravodajských služieb](/?ros_monitoring_aktuality&sprava=mpk-rokovaci-poriadok-vyboru-bezpecnostnej-rady-slovenskej-republiky-pre-koordinaciu-spravodajskych-sluzieb),15. 01. 2024
Dňa 09.01.2024 bol v MPK zverejnený návrh Rokovacieho poriadku výboru Bezpečnostnej rady Slovenskej republiky pre koordináciu spravodajských služieb. Cieľom návrhu rokovacieho poriadku výboru je...[Zákon/Zákon o dorovnávacej dani na zabezpečenie minimálnej úrovne zdanenia nadnárodných skupín podnikov a veľkých vnútroštátnych skupín](/?ros_monitoring_aktuality&sprava=zakon-zakon-o-dorovnavacej-dani-na-zabezpecenie-minimalnej-urovne-zdanenia-nadnarodnych-skupin-podnikov-a-velkych-vnutrostatnych-skupin),15. 01. 2024
Dňa 08.12.2023 NRSR schválila vládny návrh zákona o dorovnávacej dani na zabezpečenie minimálnej úrovne zdanenia nadnárodných skupín podnikov a veľkých vnútroštátnych skupín a o...[Zákon/Opatrenia na úseku environmentálnej záťaže](/?ros_monitoring_aktuality&sprava=zakon-opatrenia-na-useku-environmentalnej-zataze),15. 01. 2024
"Dňa 22.12.2023 NRSR schválila vládny  návrh zákona, ktorým sa mení zákon č. 409/2011 Z. z. o niektorých opatreniach na úseku environmentálnej záťaže a o zmene a...[Zákon/Zmeny vo financovaní neštátnych zariadení poradenstva a prevencie](/?ros_monitoring_aktuality&sprava=zakon-zmeny-vo-financovani-nestatnych-zariadeni-poradenstva-a-prevencie)",15. 01. 2024
"Dňa 08.12.2023 NRSR schválila vládny návrh zákona, ktorým sa mení a dopĺňa zákon č. 597/2003 Z. z. o financovaní základných škôl, stredných škôl a školských...[Zákon/Novela zákona o kategorizácii ústavnej zdravotnej starostlivosti](/?ros_monitoring_aktuality&sprava=zakon-novela-zakona-o-kategorizacii-ustavnej-zdravotnej-starostlivosti)",15. 01. 2024
Dňa 21.12.2023 NRSR schválila vládny návrh zákona o štátnom rozpočte na rok 2024 (Vládny návrh rozpočtu verejnej správy na roky 2024 až 2026). Rozpočet verejnej správy sa...[Zákon/Pomoc pri splácaní úverov na bývanie](/?ros_monitoring_aktuality&sprava=zakon-pomoc-pri-splacani-uverov-na-byvanie),15. 01. 2024
"Dňa 08.12.2023 NRSR schválila vládny návrh zákona, ktorým sa menia a dopĺňajú niektoré zákony v súvislosti s pomocou so splácaním úverov na bývanie. Úpravou zákona o dani z príjmov sa...[Zákon/Pomoc pri splácaní úverov na bývanie 2](/?ros_monitoring_aktuality&sprava=zakon-pomoc-pri-splacani-uverov-na-byvanie-2)",15. 01. 2024
Dňa 12.12.2023 NRSR schválila vládny návrh zákona o pomoci pri splácaní úveru na bývanie a o zmene a doplnení niektorých zákonov. Zákonom sa zavádza príspevok na...[MPK/Pracoviská okresných súdov vo vzťahu k určeniu výšky náhrady zvýšených výdavkov hosťujúceho sudcu](/?ros_monitoring_aktuality&sprava=mpk-pracoviska-okresnych-sudov-vo-vztahu-k-urceniu-vysky-nahrady-zvysenych-vydavkov-hostujuceho-sudcu),15. 01. 2024
"Dňa 02.01.2024 bol v MPK zverejnený návrh vyhlášky Ministerstva spravodlivosti Slovenskej republiky, ktorou sa mení vyhláška Ministerstva spravodlivosti Slovenskej...[MPK/Zrušenie úlohy ministra vnútra](/?ros_monitoring_aktuality&sprava=mpk-zrusenie-ulohy-ministra-vnutra)",15. 01. 2024
Dňa 02.01.2024 bol v MPK zverejnený návrh na zrušenie úlohy B.2. vyplývajúcej z uznesenia vlády Slovenskej republiky č. 48 z 19. januára 2022 k Stratégii ochrany pred neoprávneným...[MPK/Zlepšenie fungovania neziskových združení na vnútornom trhu](/?ros_monitoring_aktuality&sprava=mpk-zlepsenie-fungovania-neziskovych-zdruzeni-na-vnutornom-trhu),15. 01. 2024
"Dňa 05.01.2024 bol v MPK zverejnený návrh smernice Európskeho parlamentu a Rady o európskych cezhraničných združeniach. Cieľom návrhu je zlepšiť fungovanie neziskových...[MPK/Rozšírenie osobnej pôsobnosti smernice, ktorou sa ustanovuje európsky preukaz osoby so zdravotným postihnutím a európsky parkovací preukaz pre osoby so zdravotným postihnutím](/?ros_monitoring_aktuality&sprava=mpk-rozsirenie-osobnej-posobnosti-smernice-ktorou-sa-ustanovuje-europsky-preukaz-osoby-so-zdravotnym-postihnutim-a-europsky-parkovaci-preukaz-pre-osoby-so-zdravotnym-postihnutim)",15. 01. 2024
"Dňa 04.01.2024 bol v MPK zverejnený návrh smernice Európskeho parlamentu a Rady, ktorou sa smernica [xxxx] rozširuje na...[MPK/Hodnota služobnej rovnošaty príslušníkov ZVJS](/?ros_monitoring_aktuality&sprava=mpk-hodnota-sluzobnej-rovnosaty-prislusnikov-zvjs)",15. 01. 2024
Dňa 08.01.2024 bol v MPK zverejnený návrh na vydanie súhlasu vlády Slovenskej republiky so začatím obstarávania stavby v správe príspevkovej organizácie Ústredná vojenská...[PI/Zmeny v oblasti cenovej regulácie v tepelnej energetike](/?ros_monitoring_aktuality&sprava=pi-zmeny-v-oblasti-cenovej-regulacie-v-tepelnej-energetike),15. 01. 2024
"Dňa 05.01.2024 bola zverejnená predbežná informácia k návrhu vyhlášky Úradu pre reguláciu sieťových odvetví, ktorou sa mení a dopĺňa vyhláška Úradu pre reguláciu sieťových odvetví č. 312/2022 Z. z.,...[MPK/Zmeny v leteckom zákone](/?ros_monitoring_aktuality&sprava=mpk-zmeny-v-leteckom-zakone)",15. 01. 2024
"Dňa 29.12.2023 bol v MPK zverejnený návrh zákona, ktorým sa mení a dopĺňa zákon č. 143/1998 Z. z. o civilnom letectve (letecký zákon) a o zmene a doplnení niektorých zákonov v znení...[MPK/Vojenské cvičenia v 1. polroku 2024](/?ros_monitoring_aktuality&sprava=mpk-vojenske-cvicenia-v-1-polroku-2024)",15. 01. 2024
Dňa 29.12.2023 bol v MPK zverejnený návrh na vyslovenie súhlasu vlády Slovenskej republiky s prítomnosťou zahraničných ozbrojených síl na území Slovenskej republiky a s...[MPK/Návrh zákona o príspevku poskytovanom z Európskeho poľnohospodárskeho fondu pre rozvoj vidieka](/?ros_monitoring_aktuality&sprava=mpk-navrh-zakona-o-prispevku-poskytovanom-z-europskeho-polnohospodarskeho-fondu-pre-rozvoj-vidieka),15. 01. 2024
Dňa 27.12.2023 bol v MPK zverejnený návrh zákona o príspevku poskytovanom z Európskeho poľnohospodárskeho fondu pre rozvoj...[Ostatný materiál/Zmena osvedčenia o významnej investícii na investičný projekt „Priemyselný park Rimavská Sobota“](/?ros_monitoring_aktuality&sprava=ostatny-material-zmena-osvedcenia-o-vyznamnej-investicii-na-investicny-projekt-priemyselny-park-rimavska-sobota),01. 01. 2024
Dňa 20.12.2023 vláda SR schválila Návrh na zmenu osvedčenia o významnej investícii na investičný projekt „Priemyselný park Rimavská Sobota“. Cieľom...[Nariadenie vlády SR/Národné vízum pre vybrané skupiny štátnych príslušníkov tretích krajín](/?ros_monitoring_aktuality&sprava=nariadenie-vlady-sr-narodne-vizum-pre-vybrane-skupiny-statnych-prislusnikov-tretich-krajin),01. 01. 2024
"Dňa 20.12.2023 vláda SR schválila Návrh nariadenia vlády Slovenskej republiky, ktorým sa mení nariadenie vlády Slovenskej...[Ostatný materiál/Plnenie záväzkov z Rámcového dohovoru na ochranu národnostných menšín v Slovenskej republike](/?ros_monitoring_aktuality&sprava=ostatny-material-plnenie-zavazkov-z-ramcoveho-dohovoru-na-ochranu-narodnostnych-mensin-v-slovenskej-republike)",01. 01. 2024
"Dňa 20.12.2023 vláda SR schválila Návrh nariadenia vlády Slovenskej republiky, ktorým sa mení a dopĺňa nariadenie vlády...[Nariadenie vlády SR/Úprava právnej úpravy podmienok oprávnenosti na poskytnutie podpory formou celofarmovej eko-schémy](/?ros_monitoring_aktuality&sprava=nariadenie-vlady-sr-uprava-pravnej-upravy-podmienok-opravnenosti-na-poskytnutie-podpory-formou-celofarmovej-eko-schemy)",01. 01. 2024
"Dňa 20.12.2023 vláda SR schválila Návrh nariadenia vlády Slovenskej republiky, ktorým sa mení a dopĺňa nariadenie vlády...[Nariadenie vlády SR/Aktualizácia protokolov a metodík pre ustanovené poľné plodiny a zeleniny](/?ros_monitoring_aktuality&sprava=nariadenie-vlady-sr-aktualizacia-protokolov-a-metodik-pre-ustanovene-polne-plodiny-a-zeleniny)",01. 01. 2024
"Dňa 20.12.2023 vláda SR schválila Návrh nariadenia vlády Slovenskej republiky, ktorým sa mení a dopĺňa nariadenie vlády...[Nariadenie vlády SR/Podmienky oprávnenosti na poskytnutie doplnkovej vnútroštátnej platby na dobytčie jednotky](/?ros_monitoring_aktuality&sprava=nariadenie-vlady-sr-podmienky-opravnenosti-na-poskytnutie-doplnkovej-vnutrostatnej-platby-na-dobytcie-jednotky)",01. 01. 2024
"Dňa 20.12.2023 vláda SR schválila Návrh nariadenia vlády Slovenskej republiky, ktorým sa mení a dopĺňa...[PI/Prerozdelenie účtovníkov medzi krajskými súdmi a okresnými súdmi](/?ros_monitoring_aktuality&sprava=pi-prerozdelenie-uctovnikov-medzi-krajskymi-sudmi-a-okresnymi-sudmi)",01. 01. 2024
"Dňa 22.12.2023 bola zverejnená predbežná informáciu k návrhu vyhlášky Ministerstva spravodlivosti Slovenskej republiky, ktorou sa mení vyhláška Ministerstva spravodlivosti...[PI/Mimoriadne opatrenia pre strategické investície](/?ros_monitoring_aktuality&sprava=pi-mimoriadne-opatrenia-pre-strategicke-investicie)",01. 01. 2024
Dňa 22.12.2023 bola zverejnená predbežná informáciu k návrhu zákona o mimoriadnych opatreniach pre strategické investície a o doplnení niektorých zákonov. Cieľom návrhu zákona urýchliť...[Ostatný materiál/Analýza cenového vývoja základných druhov potravín 2/2023](/?ros_monitoring_aktuality&sprava=ostatny-material-analyza-cenoveho-vyvoja-zakladnych-druhov-potravin-2-2023),01. 01. 2024
Dňa 20.12.2023 vláda SR schválila s pripomienkou Analýzu cenového vývoja základných druhov potravín 2/2023. Cieľom analýzy bolo zistenie existencie mimoriadnej...[Nariadenie vlády SR/Rozpis finančných prostriedkov zo štátneho rozpočtu pre školy a školské zariadenia](/?ros_monitoring_aktuality&sprava=nariadenie-vlady-sr-rozpis-financnych-prostriedkov-zo-statneho-rozpoctu-pre-skoly-a-skolske-zariadenia),01. 01. 2024
"Dňa 22.12.2023 bol v MPK zverejnený návrh zákona, ktorým sa mení a dopĺňa zákon č. 2/2005 Z. z. o posudzovaní a kontrole hluku vo vonkajšom prostredí a o zmene zákona Národnej...[MPK/2-metyloxolán ako alternatíva k hexánu pri výrobe potravín](/?ros_monitoring_aktuality&sprava=mpk-2-metyloxolan-ako-alternativa-k-hexanu-pri-vyrobe-potravin)",01. 01. 2024
"Dňa 22.12.2023 bol v MPK zverejnený návrh vyhlášky Ministerstva zdravotníctva Slovenskej republiky, ktorou sa mení a dopĺňa vyhláška Ministerstva zdravotníctva Slovenskej...[MPK/Poskytnutie investičnej pomoci spoločnosti Lichtgitter FRP Slovakia s.r.o.](/?ros_monitoring_aktuality&sprava=mpk-poskytnutie-investicnej-pomoci-spolocnosti-lichtgitter-frp-slovakia-s-r-o)",01. 01. 2024
"Dňa 22.12.2023 bol v MPK zverejnený návrh na poskytnutie investičnej pomoci pre spoločnosť Lichtgitter FRP Slovakia s.r.o., IČO 54 533 848, na podporu realizácie investičného...[MPK/SR má podpísať Ľubľansko-haagsky dohovor](/?ros_monitoring_aktuality&sprava=mpk-sr-ma-podpisat-lublansko-haagsky-dohovor)",01. 01. 2024
"Dňa 21.12.2023 bol v MPK zverejnený Návrh na podpis Ľubľansko-haagskeho dohovoru o medzinárodnej spolupráci pri vyšetrovaní a stíhaní zločinu genocídy, zločinov proti...[MPK/Príspevok z Európskeho poľnohospodárskeho fondu pre rozvoj vidieka](/?ros_monitoring_aktuality&sprava=mpk-prispevok-z-europskeho-polnohospodarskeho-fondu-pre-rozvoj-vidieka)",01. 01. 2024
Dňa 27.12.2023 bol v MPK zverejnený návrh zákona o príspevku poskytovanom z Európskeho poľnohospodárskeho fondu pre...[MPK/Predĺženie termínu čerpania finančných prostriedkov z rámcového úveru od EIB](/?ros_monitoring_aktuality&sprava=mpk-predlzenie-terminu-cerpania-financnych-prostriedkov-z-ramcoveho-uveru-od-eib),01. 01. 2024
Dňa 21.12.2023 bol v MPK zverejnený Návrh na uzatvorenie Dodatku č. 2 k Dohode o financovaní medzi Európskou investičnou bankou a Slovenskou republikou (FI No. 84.594). Cieľom dodatku č....[MPK/Zrušenie niektorých úloh z uznesení vlády SR pre ministra zdravotníctva](/?ros_monitoring_aktuality&sprava=mpk-zrusenie-niektorych-uloh-z-uzneseni-vlady-sr-pre-ministra-zdravotnictva),01. 01. 2024
Dňa 22.12.2023 bol v MPK zverejnený návrh na zrušenie niektorých úloh z uznesení vlády Slovenskej republiky. Cieľom predkladaného materiálu je zrušiť úlohy z uznesení...[MPK/Jednodňová diaľničná známka](/?ros_monitoring_aktuality&sprava=mpk-jednodnova-dialnicna-znamka),01. 01. 2024
Dňa 18.12.2023 bol v MPK zverejnený materiál označený ako Plán legislatívnych úloh vlády SR na rok 2024. Návrh Plánu legislatívnych úloh vlády Slovenskej republiky na rok 2024 ...[MPK/Návrh smernice Rady o transferovom oceňovaní](/?ros_monitoring_aktuality&sprava=mpk-navrh-smernice-rady-o-transferovom-ocenovani),01. 01. 2024
"Dňa 18.12.2023 bol v MPK zverejnený návrh smernice Rady o transferovom oceňovaní. Návrh smernice stanovuje a zjednodušuje pravidlá, ktoré majú zabezpečiť spoločné uplatňovanie...[PI/Zlepšenie podmienok starostlivosti v súčastiach centier pre deti a rodiny](/?ros_monitoring_aktuality&sprava=pi-zlepsenie-podmienok-starostlivosti-v-sucastiach-centier-pre-deti-a-rodiny)",01. 01. 2024
"Dňa 19.12.2023 bola zverejnená predbežná informácia k návrhu zákona, ktorým sa mení a dopĺňa zákon č. 305/2005 Z. z. o sociálnoprávnej ochrane detí a o...[MPK/Riešenie nedostatkov nariadenia (EÚ) o referenčných hodnotách](/?ros_monitoring_aktuality&sprava=mpk-riesenie-nedostatkov-nariadenia-eu-o-referencnych-hodnotach)",01. 01. 2024
"Dňa 20.12.2023 bol v MPK zverejnený Návrh nariadenia Európskeho parlamentu a Rady, ktorým sa mení nariadenie (EÚ) 2016/1011, pokiaľ ide o rozsah pravidiel pre referenčné hodnoty,...[PI/Cenová regulácia v elektroenergetike](/?ros_monitoring_aktuality&sprava=pi-cenova-regulacia-v-elektroenergetike)",01. 01. 2024
"Dňa 20.12.2023 bola zverejnená predbežná informácia k návrhu vyhlášky Úradu pre reguláciu sieťových odvetví, ktorou sa ustanovuje cenová regulácia v...[PI/Cenová regulácia v plynárenstve](/?ros_monitoring_aktuality&sprava=pi-cenova-regulacia-v-plynarenstve)",01. 01. 2024
"Dňa 20.12.2023 bola zverejnená predbežná informáciu k návrhu vyhlášky Úradu pre reguláciu sieťových odvetví, ktorou sa ustanovuje cenová regulácia v&nbsp...[MPK/Návrh Rámcového plánu legislatívnych úloh vlády Slovenskej republiky na IX. volebné obdobie](/?ros_monitoring_aktuality&sprava=mpk-navrh-ramcoveho-planu-legislativnych-uloh-vlady-slovenskej-republiky-na-ix-volebne-obdobie)",01. 01. 2024
Dňa 18.12.2023 bol v MPK zverejnený Návrh Rámcového plánu legislatívnych úloh vlády Slovenskej republiky na IX. volebné obdobie. Jednotlivé legislatívne úlohy sú zoradené podľa štvrťrokov...[Ostatný materiál/Návrh na vydanie osvedčenia o významnej investícii na investičný projekt „Horná Streda Industrial Park“](/?ros_monitoring_aktuality&sprava=ostatny-material-navrh-na-vydanie-osvedcenia-o-vyznamnej-investicii-na-investicny-projekt-horna-streda-industrial-park),01. 01. 2024
Dňa 12.12.2023 vláda SR schválila materiál označený ako „Návrh rozpočtu verejnej správy na roky 2024 až 2026“.Rozpočet verejnej správy sa zostavuje za štátny rozpočet a rozpočty...[Ostatný materiál/Analýza sociálno-ekonomickej situácie TSK a návrhy na zlepšenie v sociálnej a hospodárskej oblasti](/?ros_monitoring_aktuality&sprava=ostatny-material-analyza-socialno-ekonomickej-situacie-tsk-a-navrhy-na-zlepsenie-v-socialnej-a-hospodarskej-oblasti),01. 01. 2024
"Dňa 12.12.2023 vláda SR schválila materiál označený ako „Analýza sociálno-ekonomickej situácie Trenčianskeho samosprávneho kraja a návrhy na zlepšenie v sociálnej a hospodárskej oblasti –...[Ostatný materiál/Návrh metodiky pre produktovú skupinu „Počítače, monitory, tablety a smartfóny“ – zelené VO](/?ros_monitoring_aktuality&sprava=ostatny-material-navrh-metodiky-pre-produktovu-skupinu-pocitace-monitory-tablety-a-smartfony-zelene-vo)",01. 01. 2024
"Dňa 12.12.2023 vláda SR schválila materiál označený ako „Návrh metodiky pre produktovú skupinu „Počítače, monitory, tablety a smartfóny“ s uplatnením...[MPK/Regulácia cien v oblasti zdravotníctva](/?ros_monitoring_aktuality&sprava=mpk-regulacia-cien-v-oblasti-zdravotnictva)",17. 12. 2023
"Dňa 12.12.2023 bol v MPK zverejnený Návrh opatrenia Ministerstva zdravotníctva Slovenskej republiky, ktorým sa mení opatrenie Ministerstva zdravotníctva...[MPK/Systém daňových pravidiel pre malé a stredné podniky v EÚ](/?ros_monitoring_aktuality&sprava=mpk-system-danovych-pravidiel-pre-male-a-stredne-podniky-v-eu)",17. 12. 2023
"Dňa 13.12.2023 bol v MPK zverejnený návrh smernice Rady, ktorou sa ustanovuje daňový systém ústredia pre mikropodniky, malé a stredné podniky a mení smernica 2011/16/EÚ. Cieľom...[PI/Zmeny na trhu s kryptoaktívami](/?ros_monitoring_aktuality&sprava=pi-zmeny-na-trhu-s-kryptoaktivami)",17. 12. 2023
Dňa 12.12.2023 bola zverejnená predbežná informácia k návrhu zákona o niektorých povinnostiach a oprávneniach v oblasti kryptoaktív a o zmene a doplnení niektorých zákonov. Cieľom návrhu zákona...[PI/Zvýšenie lehôt pravidelných technických kontrol niektorých vozidiel kategórie L](/?ros_monitoring_aktuality&sprava=pi-zvysenie-lehot-pravidelnych-technickych-kontrol-niektorych-vozidiel-kategorie-l),17. 12. 2023
"Dňa 12.12.2023 bola zverejnená predbežná informácia k návrhu vyhlášky Ministerstva dopravy Slovenskej republiky, ktorou sa mení a dopĺňa vyhláška Ministerstva dopravy a výstavby Slovenskej...[MPK/Stratégia bezpečnosti a ochrany zdravia pri práci Slovenskej republiky na roky 2021 až 2027 a program jej realizácie na roky 2024 – 2027](/?ros_monitoring_aktuality&sprava=mpk-strategia-bezpecnosti-a-ochrany-zdravia-pri-praci-slovenskej-republiky-na-roky-2021-az-2027-a-program-jej-realizacie-na-roky-2024-2027)",17. 12. 2023
Dňa 11.12.2023 bol v MPK zverejnený návrh nariadenia Európskeho parlamentu a Rady o boji proti oneskoreným platbám v obchodných transakciách. Cieľom návrhu...[MPK/Racionalizácia povinnosti podávania správ podľa určitých smerníc EP a Rady](/?ros_monitoring_aktuality&sprava=mpk-racionalizacia-povinnosti-podavania-sprav-podla-urcitych-smernic-ep-a-rady),17. 12. 2023
"Dňa 08.12.2023 bol v MPK zverejnený Návrh smernice Európskeho parlamentu a Rady, ktorou sa menia smernice 1999/2/ES,...[MPK/Návrh na zrušenie niektorých úloh z uznesení vlády Slovenskej republiky.](/?ros_monitoring_aktuality&sprava=mpk-navrh-na-zrusenie-niektorych-uloh-z-uzneseni-vlady-slovenskej-republiky)",17. 12. 2023
Dňa 11.12.2023 bol v MPK zverejnený Návrh na zrušenie niektorých úloh z uznesení vlády Slovenskej republiky. Cieľom predkladaného materiálu je zrušiť úlohy z uznesení vlády SR...[MPK/Zaradenie registra nelegálneho zamestnávania do zoznamu referenčných registrov](/?ros_monitoring_aktuality&sprava=mpk-zaradenie-registra-nelegalneho-zamestnavania-do-zoznamu-referencnych-registrov),17. 12. 2023
Dňa 11.12.2023 bol v MPK zverejnený Návrh na vyhlásenie referenčného registra nelegálneho zamestnávania. Cieľom návrhu je zaradenie...[MPK/Premeny obchodných spoločností a podávanie návrhov na obchodný register](/?ros_monitoring_aktuality&sprava=mpk-premeny-obchodnych-spolocnosti-a-podavanie-navrhov-na-obchodny-register),17. 12. 2023
Dňa 12.12.2023 bol v MPK zverejnený Návrh vyhlášky Ministerstva spravodlivosti Slovenskej republiky ktorou sa mení a dopĺňa vyhláška Ministerstva spravodlivosti...[MPK/Zosúladenie postupu pri vykonávaní zaručenej konverzie](/?ros_monitoring_aktuality&sprava=mpk-zosuladenie-postupu-pri-vykonavani-zarucenej-konverzie),17. 12. 2023
"Dňa 12.12.2023 bol v MPK zverejnený návrh vyhlášky Ministerstva investícií, regionálneho rozvoja a...[Nariadenie vlády SR/Predĺženie dočasného obnovenia kontroly na vnútornej hranici Slovenskej republiky s Maďarskom](/?ros_monitoring_aktuality&sprava=nariadenie-vlady-sr-predlzenie-docasneho-obnovenia-kontroly-na-vnutornej-hranici-slovenskej-republiky-s-madarskom)",17. 12. 2023
